person_id,primary_name,birth_year,death_year,primary_profession
773934,Aditya Srivastav,1968,,"actor,music_department"
274729,Adolf Fradis,,,production_manager
393837,Adolf Jahr,1893,1964,"actor,soundtrack,writer"
731992,Adolf Schroeder,,,actor
748175,Adolf Shestakov,1928,1998,actor
79269,Adolfas Mekas,1925,2011,"editor,actor,director"
38201,Adolfo Assor,1945,,actor
121715,Adolfo Cabrera,,,"producer,miscellaneous,production_manager"
140930,Adolfo Celi,1922,1986,"actor,director,writer"
947907,Adolfo Fernández,,,writer
521388,Adolfo Marsillach,1928,2002,"actor,writer,director"
310673,Adolfo Paz Gonzalez,,,"camera_department,actor,cinematographer"
664462,Adolfo Quiles,,,actor
664915,Adolfo Quinones,1955,2020,"actor,miscellaneous,producer"
255912,Adolph Faylauer,1882,1961,actor
958964,Adolph Laudenberg,,,
548027,Adolphe Menjou,1890,1963,"actor,soundtrack,producer"
134678,Adom Carter,,,"producer,director,actor"
200062,Adonis de Oliveira,,,actor
6956,Adoor Bhasi,1929,1990,"actor,director,music_department"
76772,Adoor Bhawani,1927,2009,actress
959665,Adrenaline,,,actor
163200,Adrià Collado,1972,,"actor,soundtrack"
34819,Adrian Arnold,1979,,actor
68087,Adrian Benjamin,,,actor
137995,Adrian Castilla,,,"actor,editorial_department"
154858,Adrian Cirrillo,,,actor
169051,Adrian Cooper,1945,,"cinematographer,art_director,camera_department"
954684,Adrian Courage,,,
210533,Adrian Dessent,,,"sound_department,miscellaneous"
1159,Adrian Dunbar,1958,,"actor,director,soundtrack"
236803,Adrian Edmondson,1957,,"actor,writer,music_department"
2340,Adrian G. Griffiths,1964,,"actor,stunts,director"
909629,Adrian Gómez,,,actor
4955,Adrian Grenier,1976,,"actor,producer,director"
359894,Adrian Hernández,,,camera_department
376119,Adrian Hoven,1922,1981,"actor,producer,director"
477296,Adrian Lester,1968,,"actor,director,soundtrack"
523400,Adrian Martinez,,,"actor,producer,director"
619637,Adrian Paduraru,1960,,actor
622907,Adrian Pang,1966,,actor
627728,Adrian Pasdar,1965,,"actor,director,soundtrack"
629841,Adrian Paul,,,actor
646597,Adrian Pintea,1954,2007,actor
672958,Adrian Rawlins,1958,,"actor,soundtrack"
789327,Adrián Suar,1968,,"producer,writer,actor"
815217,Adrian Titieni,1963,,"actor,producer,writer"
832248,Adrian Uwalaka,,,"production_designer,art_director,art_department"
871321,Adrian White,,,actor
21830,Adriana Altaras,1960,,"actress,writer"
38273,Adriana Asti,1931,,"actress,miscellaneous"
54225,Adriana Barraza,1956,,"miscellaneous,director,actress"
67791,Adriana Benetti,1919,2016,actress
83496,Adriana Blandón,,,actress
138961,Adriana Cataño,,,actress
248321,Adriana Esteves,1969,,actress
360823,Adriana Herrán,,,actress
480843,Adriana León,,,actress
618618,Adriana Ozores,1959,,"actress,editor,soundtrack"
632713,Adriana Pecorelli,,,actress
658649,Adriana Prieto,1950,1974,actress
276130,Adriana Russo,1954,,actress
802407,Adriana Tarábková,1966,,actress
821293,Adriana Trandafir,1956,,actress
160865,Adrianna Cohen,,,"editorial_department,sound_department,miscellaneous"
31185,Adriano Aprà,1940,,"actor,director,writer"
135594,Adriano Carvalho,1970,,actor
140874,Adriano Celentano,1938,,"soundtrack,actor,writer"
299813,Adriano Giammanco,,,actor
299974,Adriano Giannini,1971,,"actor,camera_department,director"
400912,Adriano Joao,,,actor
499190,Adriano Luz,1959,,"miscellaneous,actor,director"
552137,Adriano Micantoni,1921,1994,"actor,miscellaneous,writer"
570408,Adriano Moreira,1922,,
4756,Adrien Brody,1973,,"actor,producer,composer"
216588,Adrien Dirand,1979,,actor
507185,Adrien Magnes,,,"camera_department,transportation_department"
552823,Adrien Michaux,,,actor
105,Adrienne Barbeau,1945,,"actress,soundtrack"
54484,Adrienne Barrett,,,actress
155027,Adrienne Ciuffo,,,"writer,producer,miscellaneous"
156968,Adrienne Clarkson,1939,,"producer,actress,writer"
171990,Adrienne Corri,1930,2016,actress
181233,Adrienne Csengery,1946,,"actress,music_department"
958424,Adrienne Huggins,,,
430178,Adrienne King,1955,,"actress,miscellaneous,producer"
463207,Adrienne Larussa,1948,,actress
876499,Adrienne M. Williams,,,miscellaneous
560628,Adrienne Mitchell,,,"actress,costume_department,production_manager"
571306,Adrienne Morgan,,,miscellaneous
746687,Adrienne Shelly,1966,2006,"actress,writer,director"
828966,Adrienne Tyson,,,"costume_department,miscellaneous"
875041,Adrienne Wilde,,,actress
506629,Adva Magal,1965,,"director,writer,editor"
153808,Adyari Cházaro,,,actress
418963,Aen Kavanagh,,,art_department
906266,Afa Anoai,1942,,"actor,producer,miscellaneous"
940237,Affabre Concinui,,,music_department
677603,Afke Reijenga,1969,,actress
645812,Afonso Pimentel,1982,,"actor,director,writer"
559518,África Mir,,,actress
920098,Afsaneh Bayegan,1961,,actress
12454,Aftab Shivdasani,1978,,"actor,writer,producer"
427097,Afzal Khan,,,"actor,stunts"
577680,Aga Muhlach,1969,,"actor,soundtrack"
42849,Agasi Babayan,1921,1995,"director,writer,actor"
119644,Agata Buzek,1976,,"actress,producer,soundtrack"
449202,Agata Kulesza,1971,,"actress,writer"
500587,Ágata Lys,1953,,"actress,cinematographer,soundtrack"
769249,Agata Sosin,,,"costume_designer,art_department,production_designer"
90423,Agathe Bonitzer,1989,,actress
151572,Agathe Chouchan,,,"actress,miscellaneous"
674034,Aggy Read,1941,1998,"director,producer,cinematographer"
583731,Ági Mészáros,1918,1989,actress
796191,Ági Szirtes,1955,,actress
42317,Agnaldo Azevedo,,,"production_manager,actor,art_director"
881811,Agnes-Nicole Winter,1966,,"actress,producer,writer"
15042,Agnès Akopian,,,actress
31709,Agnès Aranis,,,actress
42088,Agnes Ayres,1898,1940,actress
110246,Agnes Bruckner,1985,,"actress,producer,soundtrack"
146873,Agnès Chaulier,,,"miscellaneous,production_manager,actress"
181247,Ágnes Csere,1956,,"actress,producer,sound_department"
913820,Agnes Floyd,,,actress
352709,Agnes Healy,,,actress
396363,Agnès Jaoui,1964,,"actress,writer,director"
443574,Ágnes Kovács,1981,,actress
1546,Agnes Moorehead,1900,1974,"actress,soundtrack,miscellaneous"
904439,Agnes Öberg,,,actress
629259,Agnes Patterson,,,actress
724198,Agnès Sauvetre,,,make_up_department
733427,Agnès Schwab,,,"sound_department,editorial_department"
768681,Agnès Soral,1960,,"actress,director,producer"
791421,Agnes Sundberg,,,actress
802561,Agnès Tassel,,,"make_up_department,actress"
921759,Agnes Verschueren,,,actress
21175,Agnese Almonte,,,costume_department
26508,Agneta Andersson,,,"miscellaneous,location_management,production_manager"
975026,Agni Pawar,,,actress
233295,Agnieszka Dygant,1973,,"actress,miscellaneous"
442350,Agnieszka Koson,1979,,actress
447479,Agnieszka Krukówna,1971,,actress
512302,Agnieszka Mandat,1953,,"actress,soundtrack"
853840,Agnieszka Wagner,1970,,actress
851284,Ago von Sperl,,,make_up_department
766207,Agoes Widjaya Soedjarwo,,,actor
65863,Agostina Belli,1947,,actress
839397,Agostino Vasco,,,actor
1030373,Ágoston Sáfrány,,,actor
12910,Agradoot,,,"director,writer,producer"
13010,Aguaviva,,,soundtrack
35613,Agustín Arrazola,,,actor
126872,Agustín Campos,,,actor
133357,Agustín Carrasco,,,"writer,director"
615015,Agustín David Ortigosa,,,producer
24887,Agustín de Anda,1933,1960,"actor,producer,writer"
495728,Agustín de Lucas,,,writer
332531,Agustín Gómez de Segura,,,"writer,producer"
400515,Agustín Jiménez,,,"cinematographer,producer,director"
